ID,Subject,Predicate,Object,stv,Strength,overall,MturkTruth
13087,Nigel_Cole,isMarriedTo,Kate_Isitt,0.9350595474,1,0.9350595474,1
12670,Véra_Clouzot,isMarriedTo,Henri-Georges_Clouzot,0.4773990512,1,0.4773990512,1
21809,Norodom_Sihanouk,produced,The_Last_Days_of_Colonel_Savath,0.3942225575,1.3333333333,0.5256300767,1
1104,Farouk_of_Egypt,isMarriedTo,Farida_of_Egypt,0.4276426733,1.5,0.64146401,1
8586,Jacques_Feyder,isMarriedTo,Françoise_Rosay,0.4199478924,1,0.4199478924,1
9647,Alex_Chandon,directed,Chainsaw_Scumfuck,0.4796206057,2.3333333333,1.1191147466,1
5976,Rita_Wilson,isMarriedTo,Tom_Hanks,0.4010510445,1,0.4010510445,1
6000,Iain_Softley,directed,Backbeat__film_,0.4356231987,3.5,1.5246811955,1
3983,Lotte_Reiniger,directed,The_Adventures_of_Prince_Achmed,0.4211626053,1,0.4211626053,1
8481,Elmar_Klos,directed,The_Shop_on_Main_Street,0.5507027507,1,0.5507027507,1
29062,Ashton_Kutcher,isMarriedTo,Demi_Moore,0.3425098658,1.5,0.5137647987,1
31586,Donald_Knuth,isKnownFor,MMIX,0.4699082375,3,1.4097247125,1
9854,Tony_Bui,produced,Three_Seasons,0.4276425838,1,0.4276425838,1
7717,Denis_Héroux,created,Naked_Massacre,0.4175682068,2,0.8351364136,1
9763,Alan_Rudolph,directed,Love_at_Large,0.4063876569,8.5,3.4542950837,1
11730,Arthur_Rankin,directed,_Jr._The_Mad__Mad__Mad_Comedians,0.4815536439,3,1.4446609317,1
26553,Riazuddin__physicist_,livesIn,Islamabad,0.4255672097,5,2.1278360485,1
28067,Joseph_Bonaparte,isMarriedTo,Julie_Clary,0.4276425838,1,0.4276425838,1
9918,Jean-Pierre_Bekolo,directed,Les_Saignantes,0.4276425838,0.6666666667,0.2850950559,1
13692,François_Dupeyron,directed,The_Officers'_Ward__film_,0.3425099254,2,0.6850198508,1
25559,Robert_Sterling,isMarriedTo,Anne_Jeffreys,0.4849284887,1.5,0.7273927331,1
29899,Eleanor_of_Castile,isMarriedTo,Edward_I_of_England,0.4717358947,1,0.4717358947,1
22787,Rodney_Dangerfield,created,Rover_Dangerfield,0.982727468,1.3333333333,1.3103032906,1
7076,Victor_Salva,directed,Jeepers_Creepers_2,0.4333811402,3.5,1.5168339907,1
24362,Vlad_III_the_Impaler,isMarriedTo,Ilona_Szilágyi,0.4436547458,1,0.4436547458,1
25485,Janelle_Timmins,isMarriedTo,Allan_Steiger,0.4276425838,2,0.8552851676,1
25893,Gus_Aitoro,isMarriedTo,Natalia_Rivera_Aitoro,0.4276425838,0.75,0.3207319379,1
25067,Germaine_of_Foix,isMarriedTo,Ferdinand_II_of_Aragon,0.4276425838,2,0.8552851676,1
21634,King_Vidor,directed,Our_Daily_Bread__1934_film_,0.732712388,28,20.515946864,1
19405,Joke_Silva,isMarriedTo,Olu_Jacobs,0.4877203405,1,0.4877203405,1
9712,Edna_Manley,isMarriedTo,Norman_Manley,0.4118062258,1,0.4118062258,1
10292,Marshall_Brickman,created,Simon__1980_film_,0.4480448067,4,1.7921792268,1
31471,Trip_Hawkins,isKnownFor,Electronic_Arts,0.457752645,1.5,0.6866289675,1
549,Tiberius,isMarriedTo,Julia_the_Elder,0.5041660666,1.5,0.7562490999,1
22681,Frederick_VIII_of_Denmark,isMarriedTo,Louise_of_Sweden,0.8837143779,1,0.8837143779,1
10143,Arlene_Alda,isMarriedTo,Alan_Alda,0.4333197474,1,0.4333197474,1
12703,Luis_Bayón_Herrera,produced,Jettatore,0.3425099254,0.6666666667,0.2283399503,1
11732,Arthur_Rankin,created,_Jr._The_Daydreamer,0.5776337981,1,0.5776337981,1
4788,Ishirō_Honda,created,Destroy_All_Monsters,0.4276425838,2,0.8552851676,1
21814,Norodom_Sihanouk,created,My_Village_at_Sunset,0.4413212836,1.3333333333,0.5884283781,1
